sentences,p value
It has no bearing on our work force today,3.7921820394251094e-29
Previously he was vice president of Eastern Edison .,1.4550596012466216e-26
There were many pioneer PC contributors .,7.609176454525777e-24
The field has reserves of 21 million barrels .,6.573339506448286e-25
The rest went to investors from France and Hong Kong .,6.433620374328731e-31
They fell into oblivion after the 1929 crash .,1.2596986532026337e-28
Steve Martin has already laid his claim to that .,6.18292531563533e-32
He will specialize in white-collar criminal defense work .,3.399513225594166e-28
Mr. Butler will remain on the board as a nonexecutive director .,3.940112965935198e-30
The great reds of the Rhone Valley have soared in price as well .,1.5794650361549083e-41
That explains why the number of these wines is expanding so rapidly .,8.079254379040479e-40
Ms. Ensrud is a free-lance wine writer in New York .,5.182240142630828e-32
Bond prices and the dollar both gained modestly .,1.4840414921374233e-28
Economic news had little effect on financial markets .,1.4929775739979262e-28
Stock prices rose fractionally in moderate trading .,2.2616487017182444e-24
Elisabeth Rubinfien contributed to this article .,1.0043690818072137e-22
She took her business to First Atlanta .,3.6843697819830687e-22
The competition has cultivated a much savvier consumer .,2.4131149519944158e-26
This does not sit well with some clerics .,2.1106559642618058e-29
China pulled out of the program in July .,4.998851217072852e-24
The Japanese industrial companies should know better .,1.971721589956008e-23
He is just passing the buck to young people .,2.798998002166775e-26
The British also are scrutinizing program trades .,1.6001509629678008e-23
The question now : Can he act more like hard-charging Teddy Roosevelt ?,8.46605102995804e-50
A few fast-food outlets are giving it a try .,1.559133254635315e-31
The company acknowledges some problems .,1.4502708167588773e-16
Spirit of Perestroika Touches Design World,1.3298082595168905e-28
It should be the Natural Resources Defense Council .,2.0058640557071197e-26
And my newspaper can print the text of those broadcasts .,4.4291014122301553e-32
This democracy is suddenly a little more democratic .,3.1551089397873332e-27
The prospective buyers included investor Marvin Davis and the Toronto Sun .,3.5927499897779395e-40
The reaction in the newsroom was emotional .,8.439307169933918e-22
These are the main proponents of program trading .,3.072103563518034e-25
Its new products and trading techniques have been highly profitable .,4.11619927976542e-31
Do you make sweatshirts or sparkplugs ?,2.5754517169179437e-31
Price records are being set at auctions this week .,1.3218292205874814e-33
Other works also have been exceeding price estimates .,1.0357838224347057e-29
A stadium craze is sweeping the country .,8.290511721106706e-23
London shares finished moderately higher .,2.304255801598049e-19
South African gold stocks closed marginally lower .,9.916395609351144e-28
An equal number in each month said that employment conditions were good .,3.847355415897201e-37
Total return measures price changes and interest income .,3.599060015698822e-30
Telerate provides an electronic financial information network .,2.433799769866752e-26
Wedtech management used the merit system .,4.9785804617282806e-23
These funds now account for several billions of dollars in assets .,6.284506514819628e-36
This is Japan ?,1.2740861858318075e-13
The great reds of the Rhone Valley have soared in price as well .,1.5794650361549083e-41
A Shearson spokesman had no comment .,4.7150791673669614e-20
`` I never had any clients at all .,4.61726386259456e-25
Thousands of East Germans fled to Czechoslovakia after the East Berlin government lifted travel restrictions .,4.650015592615229e-56
